fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,released_on,updated_on,data_source,data_url
2021-22,2021,May,5,1,2021-05-01,0.52,4516.94,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,2,2021-05-02,0.00,0.00,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,3,2021-05-03,2.00,18619.37,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,4,2021-05-04,1.96,17731.64,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,5,2021-05-05,1.83,16182.62,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,6,2021-05-06,1.74,15635.55,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,7,2021-05-07,1.73,15621.07,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,8,2021-05-08,0.00,0.00,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,9,2021-05-09,0.00,0.00,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,10,2021-05-10,2.24,18679.23,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,11,2021-05-11,1.86,16681.98,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,12,2021-05-12,1.67,14848.82,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,13,2021-05-13,1.04,10653.04,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,14,2021-05-14,0.59,4820.82,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,15,2021-05-15,1.42,13000.01,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,16,2021-05-16,0.00,0.00,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,17,2021-05-17,1.66,14448.16,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,18,2021-05-18,1.45,13854.83,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,19,2021-05-19,1.40,13435.99,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,20,2021-05-20,1.40,13853.38,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,21,2021-05-21,1.45,14931.29,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,22,2021-05-22,0.00,0.00,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,23,2021-05-23,0.00,0.00,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,24,2021-05-24,2.09,19102.76,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,25,2021-05-25,1.71,17696.75,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,26,2021-05-26,0.75,7049.25,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,May,5,27,2021-05-27,1.80,17583.59,2021-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
