fiscal_year,year,month,month_numeric,grid_type,presentment_cheque_vol_lakhs,presentment_cheque_value_inr_lakhs,return_cheque_vol_lakhs,return_cheque_value_inr_lakhs,return_cheq_as_pct_of_total_presentment_cheq_vol,released_on,updated_on,data_source,data_url
2023-24,2024,March,3,National Grid,585.29,68874534.71,29.35,6322484.31,5.01,2024-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2024,February,2,National Grid,541.87,60262964.32,27.2,5201258.78,5.02,2024-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2024,January,1,National Grid,547.19,58365271.55,27.99,5178767.57,5.12,2024-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,December,12,National Grid,547.23,59297185.13,28.22,5351883.65,5.16,2024-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,November,11,National Grid,525.56,55886585.62,25.86,4722299.82,4.92,2023-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2025,March,3,National Grid,531.75,"6,59,87,345.32",26.81,"60,73,644.57",5.04%,2025-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2025,February,2,National Grid,462.02,"5,40,83,445.64",24.65,"51,71,632.93",5.33%,2025-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2025,January,1,National Grid,516.61,"6,06,75,571.80",26.59,"59,61,457.83",5.15%,2025-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,December,12,National Grid,506.56,"5,87,87,897.14",26.44,"55,14,937.89",5.22%,2025-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,November,11,National Grid,472.48,"5,37,84,891.93",24.69,"51,47,516.12",5.23%,2024-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,October,10,National Grid,546.97,62405699.82,27.41,5552848.59,5.01%,2024-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,September,9,National Grid,484.94,54338699.78,25.76,5115254.19,5.31%,2024-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,August,8,National Grid,508.49,56884762.82,26.38,5147522.99,5.19%,2024-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,July,7,National Grid,531,61068544.7,27.42,5637289.46,5.16%,2024-08-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,June,6,National Grid,484.44,55383361.81,25.5,5482957.79,5.26%,2024-07-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,May,5,National Grid,524.39,61151829.61,27.5,5843203.93,5.24%,2024-06-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,April,4,National Grid,525.75,66782914.56,29.33,6352301.65,5.58%,2024-05-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2026,January,1,National Grid,458.70,60141535.29,29.23,7147112.09,6.37%,2026-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,December,12,National Grid,476.39,"62,035,244.21",28.72,"7,298,504.35",6.03%,2026-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,November,11,National Grid,448.61,"57,025,088.56",30.10,"7,627,938.75",6.71%,2025-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,October,10,National Grid,452.12,307492862.78,55.41,261059767.40,12.26%,2025-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,September,9,National Grid,464.84,"57,046,654.31",23.38,"5,462,334.64",5.03%,2025-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,August,8,National Grid,446.05,"54,002,458.04",22.97,"5,033,447.00",5.15%,2025-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
