fiscal_year,year,month,month_numeric,volume_in_mn,avg_daily_volume_in_mn,value_in_cr,avg_daily_value_in_cr,released_on,updated_on,data_source,data_url
2021-22,2022,March,3,70.28,2.2671,694335.27,22397.9119,2022-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2022,February,2,58.19,2.0782,615320.85,21975.7446,2022-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2022,January,1,59.73,1.9268,557721.29,17991.0094,2022-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,December,12,66.03,2.13,640955.17,20675.9732,2022-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,November,11,57.70,1.9233,533222.91,17774.097,2021-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,October,10,63.52,2.049,582603.87,18793.6732,2021-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,September,9,62.40,2.08,566467.76,18882.2587,2021-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,August,8,58.86,1.8987,533902.54,17222.6626,2021-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,July,7,59.64,1.9239,553256.39,17846.9803,2021-08-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2021-22,2021,June,6,51.14,1.7047,477429.95,15914.3317,2021-07-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2023,March,3,642.76,20.7342,706181.13,22780.0365,2023-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2023,February,2,553.90,19.7821,565690.47,20203.2311,2023-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2023,January,1,573.18,18.4897,570639.37,18407.7216,2023-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,December,12,608.14,19.6174,619903.47,19996.8861,2023-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,November,11,592.55,19.7517,585389.37,19512.979,2022-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,October,10,561.89,18.1255,549637.09,17730.2287,2022-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,September,9,603.84,20.128,590572.65,19685.755,2022-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,August,8,576.17,18.5861,547503.24,17661.3948,2022-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,July,7,588.67,18.9894,579380.83,18689.7042,2022-08-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2022-23,2022,June,6,593.73,19.791,593184.86,19772.8287,2022-07-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2024,March,3,58.53,1.8881,688745.35,22217.5919,2024-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2024,February,2,54.19,1.8686,602629.64,20780.3324,2024-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2024,January,1,54.72,1.7651,583652.73,18827.5074,2024-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,December,12,54.72,1.7653,592971.87,19128.1248,2024-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,November,11,52.55,1.7518,558865.88,18628.8627,2023-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,October,10,55.99,1.8061,584454.15,18853.3597,2023-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,September,9,53.84,1.7945,575020.95,19167.365,2023-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,August,8,56.54,1.8239,593323.04,19139.4528,2023-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,July,7,55.55,1.7919,587309.23,18945.4591,2023-08-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2023-24,2023,June,6,53.94,1.7979,578306.16,19276.872,2023-07-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2025,March,3,53.18,1.7154,659873.48,21286.2413,2025-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2025,February,2,43.99,1.5709,512033.73,18286.9189,2025-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2025,January,1,51.66,1.6665,606755.71,19572.7648,2025-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,December,12,50.66,1.6341,587878.97,18963.8377,2025-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,November,11,47.25,1.5749,537848.91,17928.297,2024-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,October,10,54.70,1.7645,624056.98,20130.8703,2024-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,September,9,48.49,1.6165,543387.00,18112.9,2024-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,August,8,50.85,1.6403,568847.64,18349.9239,2024-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,July,7,53.10,1.7129,610685.45,19699.5306,2024-08-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2024-25,2024,June,6,48.44,1.6147,553833.64,18461.1213,2024-07-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2026,March,3,40.38,1.6152,550625.56,22025.0224,2026-04-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2026,February,2,43.05,1.5375,579783.14,20706.5407,2026-03-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2026,January,1,45.89,1.4803,601415.35,19400.4952,2026-02-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,December,12,47.64,1.5367,620352.44,20011.369,2026-01-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,November,11,44.86,1.4953,570250.88,19008.3627,2025-12-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,October,10,45.21,1.4585,574554.41,18534.0132,2025-11-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,September,9,46.49,1.5496,570466.54,19015.5513,2025-10-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
2025-26,2025,August,8,44.61,1.4391,540024.59,17420.148,2025-09-01,2026-03-27,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/cts/product-statistics
